Feature,Value
MSSubClass,-1
20,0
30,1
40,2
45,3
50,4
60,5
70,6
75,7
80,8
85,9
90,10
120,11
150,12
160,13
180,14
190,15
MSZoning,-1
A,16
C (all),17
FV,18
I,19
RH,20
RL,21
RP,22
RM,23
Street,-1
Grvl,24
Pave,25
Alley,-1
Grvl,26
Pave,27
NA,28
LotShape,-1
Reg,29
IR1,30
IR2,31
IR3,32
LandContour,-1
Lvl,33
Bnk,34
HLS,35
Low,36
Utilities,-1
AllPub,37
NoSewr,38
NoSeWa,39
ELO,40
LotConfig,-1
Inside,41
Corner,42
CulDSac,43
FR2,44
FR3,45
LandSlope,-1
Gtl,46
Mod,47
Sev,48
Neighborhood,-1
Blmngtn,49
Blueste,50
BrDale,51
BrkSide,52
ClearCr,53
CollgCr,54
Crawfor,55
Edwards,56
Gilbert,57
IDOTRR,58
MeadowV,59
Mitchel,60
NAmes,61
NoRidge,62
NPkVill,63
NridgHt,64
NWAmes,65
OldTown,66
SWISU,67
Sawyer,68
SawyerW,69
Somerst,70
StoneBr,71
Timber,72
Veenker,73
Condition1,-1
Artery,74
Feedr,75
Norm,76
RRNn,77
RRAn,78
PosN,79
PosA,80
RRNe,81
RRAe,82
Condition2,-1
Artery,83
Feedr,84
Norm,85
RRNn,86
RRAn,87
PosN,88
PosA,89
RRNe,90
RRAe,91
BldgType,-1
1Fam,92
2fmCon,93
Duplex,94
TwnhsE,95
Twnhs,321
TwnhsI,96
HouseStyle,-1
1Story,97
1.5Fin,98
1.5Unf,99
2Story,100
2.5Fin,101
2.5Unf,102
SFoyer,103
SLvl,104
OverallQual,-1
10,105
9,106
8,107
7,108
6,109
5,110
4,111
3,112
2,113
1,114
OverallCond,-1
10,115
9,116
8,117
7,118
6,119
5,120
4,121
3,122
2,123
1,124
RoofStyle,-1
Flat,125
Gable,126
Gambrel,127
Hip,128
Mansard,129
Shed,130
RoofMatl,-1
ClyTile,131
CompShg,132
Membran,133
Metal,134
Roll,135
Tar&Grv,136
WdShake,137
WdShngl,138
Exterior1st,-1
AsbShng,139
AsphShn,140
BrkComm,141
BrkFace,142
CBlock,143
CemntBd,144
HdBoard,145
ImStucc,146
MetalSd,147
Other,148
Plywood,149
PreCast,150
Stone,151
Stucco,152
VinylSd,153
Wd Sdng,154
WdShing,155
Exterior2nd,-1
AsbShng,156
AsphShn,157
BrkComm,158
BrkFace,159
CBlock,160
CmentBd,161
HdBoard,162
ImStucc,163
MetalSd,164
Other,165
Plywood,166
PreCast,167
Stone,168
Stucco,169
VinylSd,170
Wd Shng,171
Wd Sdng,172
WdShing,173
MasVnrType,-1
BrkCmn,174
BrkFace,175
CBlock,176
None,177
Stone,178
ExterQual,-1
Ex,179
Gd,180
TA,181
Fa,182
Po,183
ExterCond,-1
Ex,184
Gd,185
TA,186
Fa,187
Po,188
Foundation,-1
BrkTil,189
CBlock,190
PConc,191
Slab,192
Stone,193
Wood,194
BsmtQual,-1
Ex,195
Gd,196
TA,197
Fa,198
Po,199
NA,200
BsmtCond,-1
Ex,201
Gd,202
TA,203
Fa,204
Po,205
NA,206
BsmtExposure,-1
Gd,207
Av,208
Mn,209
No,210
NA,211
BsmtFinType1,-1
GLQ,212
ALQ,213
BLQ,214
Rec,215
LwQ,216
Unf,217
NA,218
BsmtFinType2,-1
GLQ,219
ALQ,220
BLQ,221
Rec,222
LwQ,223
Unf,224
NA,225
Heating,-1
Floor,226
GasA,227
GasW,228
Grav,229
OthW,230
Wall,231
HeatingQC,-1
Ex,232
Gd,233
TA,234
Fa,235
Po,236
CentralAir,-1
N,237
Y,238
Electrical,-1
SBrkr,239
FuseA,240
FuseF,241
FuseP,242
Mix,243
KitchenQual,-1
Ex,244
Gd,245
TA,246
Fa,247
Po,248
Functional,-1
Typ,249
Min1,250
Min2,251
Mod,252
Maj1,253
Maj2,254
Sev,255
Sal,256
FireplaceQu,-1
Ex,257
Gd,258
TA,259
Fa,260
Po,261
NA,262
GarageType,-1
2Types,263
Attchd,264
Basment,265
BuiltIn,266
CarPort,267
Detchd,268
NA,269
GarageFinish,-1
Fin,270
RFn,271
Unf,272
NA,273
GarageQual,-1
Ex,274
Gd,275
TA,276
Fa,277
Po,278
NA,279
GarageCond,-1
Ex,280
Gd,281
TA,282
Fa,283
Po,284
NA,285
PavedDrive,-1
Y,286
P,287
N,288
PoolQC,-1
Ex,289
Gd,290
TA,291
Fa,292
NA,293
Fence,-1
GdPrv,294
MnPrv,295
GdWo,296
MnWw,297
NA,298
MiscFeature,-1
Elev,299
Gar2,300
Othr,301
Shed,302
TenC,303
NA,304
SaleType,-1
WD,305
CWD,306
VWD,307
New,308
COD,309
Con,310
ConLw,311
ConLI,312
ConLD,313
Oth,314
SaleCondition,-1
Normal,315
Abnorml,316
AdjLand,317
Alloca,318
Family,319
Partial,320
